Sample,Detector,Ct
18-1_2,ubq7,19.307
18-1_2,ubq7,19.363
18-1_2,ubq7,19.385
18-1_2,ve,18.576
18-1_2,ve,18.775
18-1_2,ve,19.215
18-1_3,ubq7,19.291
18-1_3,ubq7,19.246
18-1_3,ubq7,19.247
18-1_3,ve,19.332
18-1_3,ve,19.406
18-1_3,ve,19.307
18-1_4,ubq7,19.299
18-1_4,ubq7,19.228
18-1_4,ubq7,19.016
18-1_4,ve,19.258
18-1_4,ve,19.512
18-1_4,ve,19.568
18-1_5,ubq7,19.81
18-1_5,ubq7,19.701
18-1_5,ubq7,20.044
18-1_5,ve,22.287
18-1_5,ve,22.287
18-1_5,ve,22.193
18-1_6,ubq7,19.168
18-1_6,ubq7,19.036
18-1_6,ubq7,18.464
18-1_6,ve,30.383
18-1_6,ve,30.216
18-1_6,ve,31.46
18_4,ubq7,19.711
18_4,ubq7,19.587
18_4,ubq7,19.892
18_4,ve,18.704
18_4,ve,19.122
18_4,ve,19.226
18_9,ubq7,19.381
18_9,ubq7,19.203
18_9,ubq7,19.536
18_9,ve,20.503
18_9,ve,20.8
18_9,ve,20.444

