GeneID,Ghjin_A01g000010,Ghjin_A01g000020,Ghjin_A01g000050,Ghjin_A01g000070,Ghjin_A01g000110
Anther,0.482174,0.683387,0.9061355,0,0.8903695
Root,0.6346,0.9809655,1.3362545,2.267176,2.1744235
Stem,0.3926015,1.3845025,0.597532,1.308516,4.0372885
Phloem,1.0702215,1.8149665,1.844657,6.313553,5.897904
Cotyledon,0.951514,1.489745,0.95352,5.34452,6.136338
Leaf,0.8212435,1.5305775,0.60524,2.266987,6.7288005
5-DPA,0.771573,1.5312285,1.099203,3.9301405,8.5060735
10-DPA,0.7000565,2.313193,1.146943,3.5205765,8.3673395
20-DPA,0.39334,0.675294,0.7127555,2.7160305,3.0363275
PreSE0h,0.615468,0.156355,0.41427,0.8800515,1.5942405
PreSE30s,0.5019155,0.2183505,0.5386555,0.8391645,0.9733045
PreSE1h,0.391933,0.094974,0.1961135,0.6615135,1.420864
